"","name","Grain.yield...bu.ac","Grain.test.weight...lbs.bu","FHB.grain.incidence.....","FHB.incidence.....","FHB.severity.....","Heading.time...Julian.date..JD..","Plant.height.inches","SBMV","balancedIX","ranking"
"131","18-23224",2.67767505765403,0.268120970270672,-0.040253770750013,2.70816802482958,3.86684647761682,-0.319694821019795,0.419624904229259,-1.37982612345178,6.37416991711262,66
"132","18-23760",8.94766078343027,0.427403288888847,-4.01901509517433,-9.53114807995789,-12.3023716751203,2.00998028246499,0.523989995053565,-3.07545590940055,13.9347357643997,11
"133","18-23779",-0.110665986361255,1.03688568481857,-4.12280880249631,-10.6377917164238,-13.1709203257835,-0.516709292583442,0.240500002837308,-1.40353929792186,2.07356900635148,127
"139","18-24331",1.24685836494784,-0.47664120127321,1.83598913454206,4.55336021160308,5.18985783205737,-1.62671405762239,-0.290964788054314,-1.83675499228762,9.29452183641913,36
"143","18-25521",5.37579704041237,1.24095438418163,-3.53439035015774,-1.27916742009613,1.57893000301941,1.59000830624785,1.86432544138707,1.16593283201855,2.54655077431986,123
"146","18-26037",6.88860642897677,0.150548023809478,-2.45835042770229,-6.08249981781965,-6.806901845071,2.38791438783534,1.00177218047931,1.28045762368028,5.84999569128831,69
"150","18-26766",-0.127964058689713,0.908864363726707,0.853175199403774,7.26559446282757,10.113665092604,-2.45305349881474,0.200029329477321,-1.91190543696793,7.90810393502826,47
"153","18-27460",8.77188104813096,-0.497220984477899,6.30979875329783,20.4732967402858,29.1336899115404,2.06903974351229,1.65761152695972,-0.351838888038648,7.11064367638077,58
"158","18-28931",10.0781690511636,-2.07495356584212,-1.46119108917315,-11.909578722692,-16.2262352677128,3.26686067936092,0.0893834927570154,0.128629455754218,12.566880632491,17
"166","18-4360",6.48995631258207,1.26568389227621,-2.14054919125475,-4.41538440205614,-4.2022721869518,1.79217980416533,0.968534871405605,-1.70926393442687,7.30136939751694,55
"172","18-4910",4.00895172899745,1.18375387056776,-7.69996693685962,-20.3268881196019,-24.8633298868819,-0.588976697520707,0.597023019825077,-0.590221036763714,12.3930455290248,20
"176","18-5270",7.22493369026242,-1.72009446977367,-5.1823938990414,-19.5637896086617,-24.1857015629376,0.304694484776576,0.0882455053837745,2.06404658982703,17.3805077923116,3
"177","18-5304",2.18738902962298,0.0736228312791951,-1.87456818986158,-9.41728185968253,-12.3769597308212,0.251159798362181,-0.396552148047167,1.16878263865933,6.60436961517243,64
"179","18-5737",6.87428427062713,-0.469785029813202,-4.99911446300267,-11.4636397615761,-13.8661690146909,0.266041043069094,0.989355928223539,0.728862143393475,13.7945929872509,13
"180","18-5837",4.0222067147195,1.18051157164756,-4.79527196485022,-8.78051529094286,-10.5861107330131,1.16621961152009,1.06562544236011,-3.89658161585935,3.29395442413947,109
"183","18-6274",0.304194145338258,0.989780950875613,-0.666926719063071,-1.12007190276614,-0.911323653600505,-0.833320316839007,-0.390893748779547,0.243561637864541,5.70572140426756,71
"184","18-6551",2.57057784229868,0.946165495795441,-4.47961211414996,-8.43543864055865,-9.55656767932144,0.244668824301698,0.632328849895561,0.680950897725659,4.75186671348708,86
"186","18-6651",3.93127299850941,-0.973735460485791,-2.36749513182072,-10.2055467232725,-12.9481533878125,0.565008124706026,-0.0448138320749294,1.66969918725625,8.26833806334741,45
"187","18-6852",-1.34400856309676,-0.388383005291161,0.90768732651868,-2.72043856332142,-6.19236730598141,-0.531761437821672,-1.68967322932619,-2.24455047757722,3.74680295906692,99
"188","18-6860",-1.32972250366954,-0.852820743854195,5.66238522387287,10.7584266962057,11.955403131787,-0.93797908236894,-1.74398218648602,-0.530819165730254,4.34586307689209,92
"191","18-7320",3.32385667682767,-1.03495022195258,-0.954120055297819,-2.29723456068038,-3.09181213213191,-0.300391792110787,0.180844814590426,1.15017671959948,8.62793095995431,41
"194","18-7518",2.427908282719,0.644578375248962,-0.406464858144256,-0.201649823591616,1.46764356185351,0.371064402611154,0.518975758895834,1.64212565414372,3.52369625666775,104
"198","18-7750",2.43647720134959,1.42265448248116,1.74324415861508,9.14999791255832,12.3407836542433,0.649853779205813,0.247070352617463,0.233118300822225,3.00483770328087,116
"203","18-7928",4.59529767866111,1.16758900955404,2.96675501461461,13.3321308586328,17.8271763819375,0.982481436265886,0.111188820824825,-0.144017977875128,7.13213860854446,57
"204","18-7943",3.45374391138193,0.820008938555439,2.48581296649326,10.0188332000319,12.5249349442636,-0.170292993705687,-0.0446499585966542,-1.47589222421394,8.96952649665567,38
"212","18-8174",5.36651700185418,1.32966631669353,3.77586701720981,12.5125373325756,16.9285527483202,1.42140243011832,0.13857525020666,-0.968718828752021,7.34112479203165,54
"213","18-827",1.55803379165251,-0.51487221498283,2.32103653561288,6.22123790514997,8.63476328521496,-0.250327067360843,0.0701352397574126,-0.883169731239914,3.75251418553168,98
"216","18-842",2.1678882644117,-0.388249081221453,-4.00102357723031,-12.7521361179025,-15.1864372541048,-0.578613699936085,0.564496760223875,-0.448177030286819,6.44161371768995,65
"217","18-8632",1.23463125021361,-0.161827755722705,-0.878528450112121,-3.93241435933403,-3.70740434291275,-0.831744712914428,0.358816858438185,0.803709807385277,5.2601089438374,78
"222","18-9009",6.68827620807001,-0.933185942282194,-0.723532149079171,-0.825633123671402,-0.157055752280648,0.747614583831478,0.694997385315006,0.38387651857926,11.3736416454079,26
"224","18-904",3.07789195748497,0.875749042087683,-4.58417419896527,-10.3046716600394,-12.6151426394867,0.446515592161489,0.923689815844046,-2.63770745526936,4.09741202205969,95
"225","18-9355",4.28008057745279,-0.254043545950665,2.46069903043372,3.46822691525946,6.22857636063463,1.24221672947075,0.359591289341335,2.16410635120539,4.66643600434663,87
"226","18-956",0.610234764227442,0.320477352017939,-4.63464549864681,-12.3077510570302,-16.2842362435209,0.0645670648803218,0.0645991077868189,-0.535376677155069,2.15966862038719,126
"229","18-9724",3.68985569529696,0.964468667955465,0.523826097421388,2.27851512727205,3.22592468138616,-0.463513316634419,-0.378826055265971,-2.70367671126106,12.1994450362013,24
"230","18-9949",2.36310943125399,-0.469413641113263,-1.58981874773632,-2.60247690164017,-4.16917802662971,-0.62600710704956,0.120084950584548,-0.542936999705952,7.80757450426654,48
"232","18MSFRS-18",11.6487963187057,0.720767372784351,-1.13922075282647,-2.09859734971165,-1.39273086407535,3.01419603486383,0.440256133823294,2.00617397195861,17.280812706064,4
"234","18MSFRS-32",9.48651337442037,-0.775913386602213,-0.556926514368952,-6.83983488374722,-8.71405889026159,4.02540327010988,0.106237715715871,-0.760115486488369,8.43125421958344,43
"236","18MSFRS-50",13.0992070689117,-0.332789915366924,-3.94422976756384,-11.0836546114796,-13.3658374324223,4.055556784207,0.765946137757709,2.48175974720652,16.2096911199725,8
"237","18MSFRS-53",4.54473905560469,-2.33253166289803,-0.709181308932504,-5.08441602846685,-5.97601119605814,-0.358723914203836,0.279297044258769,0.836432707451636,11.0273566025451,27
"238","18MSFRS-60",7.61507128396958,-1.18468971093593,-1.00483825323646,-5.09364742481166,-6.92348026240662,3.96332137570758,0.300059347298284,-0.391832934481417,3.13324038272197,113
"239","18MSFRS-66",6.36003534643302,-2.89893902224271,-2.55957704467913,-12.8496657059646,-15.8818728530448,-0.229745443158237,0.205712951309195,1.69616064017932,15.6687136653958,9
"244","US16-IL-061-032",6.40428201375006,-0.103625701346097,2.84778677466605,8.53259012597422,13.0449546851857,0.0318137853097085,0.875336620942885,0.369991462430744,12.3893591333191,21
"245","US16-IL-061-046",-1.2423421917884,-0.782184781258138,-4.33871457374101,-12.1318233210835,-15.2984244138092,-2.49776122558123,0.14826068868469,-0.129448752647591,6.18763564782787,68
"246","US16-IL-061-068",-2.0826607112576,-0.649269405887026,1.24860623584009,1.93784997341619,3.86298608187124,-4.92790950803723,-0.000459870404448282,-0.985702069127229,12.3945684820414,19
"247","US16-IL-061-075",0.565631837074861,-1.10658238655052,-0.146235469313112,2.47620644830803,3.05749863437097,-0.676423518324555,0.37539863044713,0.330514334710617,2.06866919527512,128
